content,sentiment
parah aplikasi apa begini masa eror mulu hadeeeh,0
kartu wnwp ari iswanto kok gak idup,0
mau log in via aplikasi diarahin web coretax wkwkw udah gitu gabisa akses situs jangkau lucu aplikasi layan masyarakat buruk ini,0
ribet,0
oke good,1
aplikasi setan semua aplikasi buat negara gaada bener otak karupsii semua,0
rata apk perintah konoha sampah semua,0
susah betul daftar coretex nyaa malah tambah rumit sekarang jdi malas lapor pajak 3 jam bolak balik aja,0
aplikasi ribet rencana biar simpel priteksinya aplikasi simpan uang milyaran mau masuk lupa email baik,0
ngabisin anggar negara doang kek sengaja buat susah biar banyak kena denda cuma mau bayar pajak ngurus spt doang aja sulit percuma banyak marketing hasil nihil,0
pake pulsa pa ngirim kode otp nomor telpon ga sekali aja apa pake duit 1juta gitu udah mah penting malah bikin susah mau kerja punya npwp definisi udah cari kerja susah ngerjain kaya ginian susah apa susah coba bom bikin lama prose bolak balik hedeh,0
daftar efin aja susah minta ampun indo susah anjir apa padahal pake duit sendiri susah bgtt,0
jalan masa datang,1
poto ulang ulang kok gagal terus sih tolong baik,1
percuma pake aplikasi,0
apl gak,0
jelek nyaa banyak bug sama error engga jelas kaya webnya,0
aplikasi ter stress coba siapa yg bikin aplikasi nya benah lagi btl2 gajelas bgtt ntah web aplikasi gaje bgtt plenger final,0
ngabisin anggar doang bkin website kek kntlll,0
gak sangat ribet lebih nyaman pake e feling cuma nyampe tahun 2024 taik lah sistem pajak,0
payah banget login susah sekali masuk logout sendiri,0
20min 9,0
kartu npwpnya ga,0
aplikasi error terus habis download malah masuk browser terus buat apa aplikasi nya kalau bikin aplikasi mikir dulu masa kalian gaji pakai uang hasil keringat rakyat kerja bikin aplikasi aja sulit susah ada solusi selamat atas tambah nya dosa kalian,0
input pasword captha id udah bener anggap salah pasword mesti reset pasword gilir udah reset trus log in pasword udah bener id bener captcha bener pa log in malah langsung error aplikasi nya lol,0
aku pilih jenis kerja pa verifikasi gaa bisa gj banget,1
aplikasi biar aja tolooool,0
payah masa error 400 padahal jaring baik payah sertifikat aktif aktivasi malah out,0
gabisa masuk trs padahal pasword sama nomor npwp udah bner,0
busuk,0
aplikasi eror jelas,0
aplikasi jelek baik lg udh nunggu jam jam ttep ga verifikasi nomor telepon,0
kok aplikasi yg gak kayak gin,0
apk nya paok paok nya,0
buang2 biaya aplikasi gak,0
terima kasih manajemen aplikasi m - pajak,1
aplikasi paling susah guna,0
eror,0
jelek bgt,0
sampah,0
,1
baik,1
aplikasi apa gabisa guna padahal mau kerja penting malah banyak kali drama email sama no hp pa daftar djp gabisa gabisa ter indifikasi apa cobak lucu kali apk indonesia kalok gabisa buat gausah lah buat,0
mau daftar kendala kolom kerja aplikasi anying,0
aneh,0
gimana sihh aplikasi report bangtt pa tahap daftar kirim nomor handphone pa minta otp sm kaggk muncul lihat whatsapp kaggk lihat pesan kaggk ihhh gin amatt pajakk mah gedee terus apa gehh udh download aplikasi daftar arahin website amang perintah doang mahh pajak doang gedeee kaggk kayak aplikasi porli daftar gampang kaggk ribettt mahh ihhh,0
aplikasi dongo,0
slalu gagal terus yaa aneh bgttt berkali2 nyoba ga bisa2,0
aplikasi gagunaaaaaaaaaaa,0
good,1
oke,1
gampang eror,0
bagus,1
aplikasi goblokk,0
sangat buruk buka mudah malah bikin emosi begini jadi warga indo banyak bug gak jelas mau daftar aja susah banget anjim,0
aplikasi sampah bikin perintah tolol daftar aja susah alamat dimna geograif nya dimna tolol,0
aplikasi pajak banyak tipu guna aplikasi pajak kena hack 100juta lebih boss,0
apk gak jelas udah buat apk masuk google chrome situs daftar npwp terlalu ribet gak jelas banyak bug,0
,1
login apl malah keluar situs udah login situs ga masuk apl,0
baik website coretax nya kadang kadang gak,1
aplikasi nya jelek sangat jelek suruh kirim bukti terima elektronik data kok kirim kirim kecewa,0
fungsi buat apk apa dah bukan nya mudah malah sulit bolak balik verifikasi terus kalau gak bikin apk mending gak usah bikin kesal orng aja,0
bikin kesel padahal udah isi pulsa tetep ja muncul kode bner dong kapan maju nya nih indonesia klw sulit,0
apk ngawur bilang lapor mau masuk aja angel temen pak pur gimana,0
niceee lapor spt cepet bangettt,1
apk bukan resmi djp pa gw tanya emang ga pernah tulis aplikasi semua langsung email jadi ni apk palsu cik,0
sampah,0
apks apa wei susah verifikasi nya baik dong suka buat rakyat susah,0
baik,1
kasih map ko map buta bodoh kali org pajak ini kaya zaman purba aja ini udh zaman canggih bos perintah pinter bikin korupsi doang bukan mudah malah sulit,0
apk ampas ga mudah malah sulit,0
pajak gua cuma buat bikin aplikasi begini miri,0
login aalsan internet gagal hapus aplikasi pakai,0
aplikasi cacat,0
apk gjls ngirim kode otp aja lama minta ampun pajak aja digedein tpi apk kya gin lot minta ampun,0
bukan coretax mobile,0
ribet,0
aplikasi gagal verif aja kikir make pulsa,0
susah akses,0
apliksi perlu benah bnyak yg kna scam karna aplikasi masuk,0
nice,1
otp lama bgt gilak ni operator ga sih kalo otomatis kok jam ga kirim otp hadehhh apk indo,0
payah sistem nya sangat rumit duit pajak cuma bikin web kya gin bantu,0
layan perintah gak onlen gak offline dobol,0
mau bikin npwp susah banget tinggal aktivasi kode otp gk kirim kirim pulsa banyak 20 ribu ada sama aja payah,0
lebih mudah,1
cara mau daftar susah ribet banget emosi gw,0
sampah aplikasi eror trus dirjen pajak koq aplikasi bgtu huh,0
gak kelas error terus,0
tdak penting,0
aplikasi kon62829 coretax gimana ko gak log in,0
sabgat muas,1
sampah macam apa yg habis kuota buang waktu,0
suka,1
jlek,0
bobrok,0
apk apk begini ga pantes buat sama orang tua nyusahin anak muda aja mending pensiun dah,0
baik,1
aplikasi gk nyusahin eror terus,0
sistem nya kurang muas baik,0
susah banget buat verifikasi padahal udah masuk tetap aja gak login parah sihh gak nyaa gak bikin online buanh pulsa tenaga,0
verifikasj kali kali error mana pake sm pake pulsa lagi udah habis bbeberapa duit error padahal tinggal kirim aja,0
ribet banget,0
nice,1
aplikasi gak mutu habisin anggar doang,0
maaf aplikasi fungsi buat apa ya masalah terus kalau masuk mohon rilis pasti aplikasi ada baik tuju mudah malah sulit,0
aplikasi kurang bantu,0
susah sekali daftar,0
waste,0
teh bayar anjir ama rakyat sistem eror mu gabisa akses butut bgt,0
sumpah bug nya ga pernah benerin pantes aja rugi negara org nya aja ga pernah benerin,0
aplikasi gaguna eror banget,0
guna aplikasi apa ya gabisa dipake login udah data bener semua ttep gabisa,0
mau bayar pajak aja susah jemboet ni aplikasi banyak bugnya woei,0
aplikasi ga jelas ga guna mau login gagal terus mau daftar registrasi ulang ga terang nik daftar gilir mau login lupa sandi ga juga sulit sekali,0
payah mau login aja susah betul mana aktifasi doang aja makan waktu banget lah orang mau taat pajak loh kok malah sulit,0
aplikasi jadi udah dipake banyak errornya,0
susah cerna tolong baik,0
ui ux nya ampas wkakckaka orang it nya gimana si boomer bau tanah ssuruh bikin aplikasi jdinya bgini banyak eror bug form daftar npwp aja gak jelas tulis teks bikin bingung,0
aplikasi jelas banyak bug fitur lapor pajak bisa,0
user friendly ribet banget lebih bagus aplikasi super apps yeeay,0
pernah bikin akun apa login malah tolak terus padahal email nomor telpon benar pasu nik juga tetap login,0
susah buka error trus,0
ribet betol2 ribet mau registrasi aja,0
bagus,1
suruh masuk captca kgk ada gk luat apa mau masukin,0
parah gk harap,0
mantap,1
bikin npwp online sekarang tuh susah tahun lalu mah mudah malah ribet sering eror alamat geteg ngaco,1
baik bagus segala urus layan pajak cukup detail tampa ribet jadi ngak susah kantor cabang langsung cukup aplikasi asal paham langkah nya penuh prosedur aplikasi nya sangat manfaat semua nya,1
aplikasi setan mau daftar sdh tahun klik tombol verifikasi,0
konyol bgt kelas perintah gak nyimpen form session akhir stuk pa daftar gak apa2,0
baik website aplikasi nya laku login,0
aplikasi sering nge hang,0
lah jangan sulit gin mau daftar online aja susah baik kasi orng lah udah mah sya butuh bnget npwp malah sulit gin,0
beres aplikasi nya,0
ahli it,0
herman cuma verivikasi otp nomor telepon musti pake pulsa kelas negara butuh pajak gak modal bener dah udah gaji gak profesional,0
gk swafoto,1
baik sih ini dong ngga mungkin se abai kerja kembang aplikasi tahun kemarin masa gin aja malah makin ga jelas,0
beyond bni aplikasi pishing hati hati,0
benar apk maaf gak apk perintah buang buang uang guna,0
tiba2 gak login lewat lupa kata sandi tetap gabisa walaupun pakai nomor hp email didaftarin,0
kasih susah sja orang buat login sdkt login buat apa download apknya malah susah buat login sdh cukup sblmnya sdkt minta login skrng tmbh parah ada in aplikasi,0
semua bikin susah,0
aplikasi perintah gimana sih gak bagus apa akal akal perintah bik aplikasi susah akses lot iya sering trobel iya bukan mudah malam sulit anggar aja gede akses paling bawa,0
dong baik butuh banget cetak ulang npwp nyaa kalo verivikasi nya gagal mulu karna kendala pulsa udah kali isi tetep ga notifikasi kek mnaa,0
bagus,1
ga daftar,0
ga daftar sertifikat digital jadi ga ttd spt no hp profil beda dgn aju buat sertifikat digital,0
pajak ga guna gilir aplikasi yg bayar kece bayar gampang aplikasi mau cek npwp aj ga yg jelas,0
gatau deh mau lapor pajakk buat susah gin kalo sampe ga lapor terus kena denda 100ribu banget sih yg hasil padahal kemarin pa pake djp online enak aku udah coba kali kali lewat wab gabisaa bukan masalah langsung datang kpp tpi ada rantau sibuk kerja lagi zaman makin modern mau yg lebih fleksibel online tpii buat susah ginii,0
konto1 app gk jelass,0
